"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.105662083E-1	-2.888992310E-1	2.800675964E-1	9.818532257E0	9.826773443E0
7.205602083E-1	-3.857478333E-1	2.761756897E-1	9.772128754E0	9.783638116E0
7.305542083E-1	-3.920347595E-1	2.380050659E-1	9.870923309E0	9.881571972E0
7.405482083E-1	-3.523672485E-1	1.501377869E-1	9.756411438E0	9.763926883E0
7.505422083E-1	-2.565664673E-1	3.308120728E-2	9.922266541E0	9.925638217E0
7.605362083E-1	-1.695973206E-1	-4.640350342E-3	9.868079224E0	9.869537595E0
7.705302083E-1	-1.134640503E-1	6.496490479E-2	9.862989807E0	9.863856369E0
7.805242083E-1	-1.308279419E-1	1.760339355E-1	9.910740509E0	9.913167069E0
7.905182083E-1	-1.817221069E-1	2.335144043E-1	9.827363892E0	9.831817378E0
8.005122083E-1	-2.448907471E-1	2.757266235E-1	9.792636108E0	9.799577471E0
8.105062083E-1	-3.140469360E-1	2.489323425E-1	9.864187317E0	9.872324155E0
8.205002083E-1	-3.439846802E-1	2.225871277E-1	9.858648834E0	9.867159030E0
8.304952083E-1	-3.164419556E-1	1.035845947E-1	9.731114044E0	9.736808811E0
8.404892083E-1	-2.634521484E-1	3.787124634E-2	9.966574402E0	9.970127711E0
8.504832083E-1	-2.100132751E-1	8.083190918E-3	9.831555176E0	9.833801304E0
8.604772083E-1	-1.716929626E-1	5.254074097E-2	9.801916809E0	9.803561197E0
8.704712083E-1	-1.719923401E-1	1.628613281E-1	9.862091675E0	9.864935751E0
8.804652083E-1	-1.875599670E-1	2.547702026E-1	9.904004517E0	9.909056063E0
8.904592083E-1	-2.297721863E-1	2.523751831E-1	9.840237122E0	9.846154330E0
9.004532083E-1	-2.799179077E-1	2.618055725E-1	9.840686188E0	9.848147076E0
9.104472083E-1	-3.191363525E-1	3.076103210E-1	9.959239655E0	9.969098586E0
9.204412083E-1	-4.318519592E-1	2.086660767E-1	9.729317780E0	9.741132486E0
9.304352083E-1	-5.114863586E-1	1.035845947E-1	9.821675720E0	9.835530592E0
9.404292083E-1	-2.110610962E-2	-7.185058594E-3	9.575138397E0	9.575164355E0
9.504232083E-1	-4.881349182E-1	-2.215393066E-2	1.033091675E1	1.034246621E1
9.604170417E-1	-2.469863892E-2	1.871109009E-2	9.638456726E0	9.638506533E0
9.704110417E-1	-3.216810608E-1	-1.721420288E-2	9.323661346E0	9.329224830E0
9.804050417E-1	-9.924362183E-2	5.342390442E-1	1.088970474E1	1.090325319E1
9.903990417E-1	3.891906738E-3	1.251397705E-1	9.635762329E0	9.636575677E0
1.000393042E0	1.116677856E-1	2.999761963E-1	9.391769714E0	9.397222663E0
1.010387042E0	1.362167358E-2	3.993695068E-1	1.011461655E1	1.012250707E1
1.020381042E0	1.646575928E-3	2.267784119E-1	1.045171555E1	1.045417567E1
1.030375042E0	-2.481838989E-1	-2.474354553E-1	9.241033173E0	9.247676122E0
1.040369042E0	-8.204438782E-1	1.799258423E-1	9.770182800E0	9.806221159E0
1.050364042E0	-1.053808594E0	2.923420715E-1	9.751022644E0	9.812156697E0
1.060358042E0	-6.740483093E-1	-2.115101624E-1	1.017598892E1	1.020048176E1
1.070352042E0	-2.790197754E-1	1.202000427E-1	9.393416290E0	9.398328026E0
1.080346042E0	-6.122268677E-2	3.050656128E-1	9.740843811E0	9.745811993E0
1.090340042E0	3.106040955E-1	9.116043091E-2	1.031549881E1	1.032057657E1
1.100334042E0	4.183799744E-1	2.230361938E-1	9.904004517E0	9.915346308E0
1.110328042E0	3.847000122E-2	3.427871704E-1	1.000938538E1	1.001532718E1
1.120322042E0	-2.258802795E-1	1.296304321E-1	9.641300812E0	9.644817639E0
1.130316042E0	-5.203179932E-1	1.856140137E-1	9.614805908E0	9.630663322E0
1.140310042E0	-6.167175293E-1	2.249821472E-1	1.042132874E1	1.044198497E1
1.150304042E0	-5.236111450E-1	-6.122268677E-2	9.601633301E0	9.616094784E0
1.160298042E0	-3.209326172E-1	-8.681945801E-3	8.985364838E0	8.991098620E0
1.170292042E0	-2.859054565E-1	1.555265808E-1	1.066352509E1	1.066849088E1
1.180286042E0	3.397933960E-2	1.791773987E-1	1.027732819E1	1.027894614E1
1.190280042E0	1.487905884E-1	6.182144165E-2	9.323212280E0	9.324604429E0
1.200274042E0	-1.290316772E-1	2.836601257E-1	9.603728943E0	9.608783578E0
1.210268042E0	-3.553610229E-1	3.773652649E-1	1.023796005E1	1.025107370E1
1.220262042E0	-3.074606323E-1	3.324586487E-1	9.899064789E0	9.909416960E0
1.230256042E0	-1.980381775E-1	-7.469467163E-2	9.964179382E0	9.966427102E0
1.240250042E0	-2.104623413E-1	-1.320254517E-1	9.639055481E0	9.642256773E0
1.250244042E0	-1.495390320E-1	-1.257385254E-2	9.165440369E0	9.166668816E0
1.260238042E0	-4.915777588E-1	5.162763977E-1	1.088416626E1	1.090748666E1
1.270232042E0	-1.842668152E-1	5.263055420E-1	9.713001709E0	9.728995528E0
