"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.092557500E-1	-1.550775146E-1	1.567240906E-1	9.804162140E0	9.806640951E0
6.192497500E-1	-1.775308228E-1	1.606159973E-1	9.870923309E0	9.873826091E0
6.292427500E-1	-2.287243652E-1	1.308279419E-1	9.836195526E0	9.839724245E0
6.392367500E-1	-2.347119141E-1	7.170089722E-2	9.767488403E0	9.770571140E0
6.492297500E-1	-2.164498901E-1	7.634124756E-3	9.890233154E0	9.892604343E0
6.592237500E-1	-1.883084106E-1	2.050735474E-2	9.839788055E0	9.841611127E0
6.692167500E-1	-1.504371643E-1	6.765930176E-2	9.817185059E0	9.818570751E0
6.792107500E-1	-1.472937012E-1	8.307723999E-2	9.877659302E0	9.879106769E0
6.892037500E-1	-1.173559570E-1	1.327738953E-1	9.865384827E0	9.866976189E0
6.991977500E-1	-1.327738953E-1	1.442999268E-1	9.852511597E0	9.854462752E0
7.091907500E-1	-1.466949463E-1	1.538800049E-1	9.837093658E0	9.839390739E0
7.191847500E-1	-1.552272034E-1	1.285826111E-1	9.826765137E0	9.828832180E0
7.291777500E-1	-1.763333130E-1	7.214996338E-2	9.834399261E0	9.836244603E0
7.391717500E-1	-2.167492676E-1	2.005828857E-2	9.878856812E0	9.881254702E0
7.491647500E-1	-2.113604736E-1	5.748046875E-2	9.793384552E0	9.795833718E0
7.591587500E-1	-1.927990723E-1	6.721023560E-2	9.819280701E0	9.821403269E0
7.691517500E-1	-1.799258423E-1	8.098159790E-2	9.888287201E0	9.890255563E0
7.791457500E-1	-1.508862305E-1	1.215472412E-1	9.866582336E0	9.868484554E0
7.891387500E-1	-1.386117554E-1	1.438508606E-1	9.851912842E0	9.853937940E0
7.991317500E-1	-1.392105103E-1	1.420545959E-1	9.839488678E0	9.841498693E0
8.091257500E-1	-1.434017944E-1	1.234931946E-1	9.838440857E0	9.840260827E0
8.191187500E-1	-1.701960754E-1	7.649093628E-2	9.852960663E0	9.854727363E0
8.291127500E-1	-2.778222656E-1	1.704954529E-1	9.847721558E0	9.853114928E0
8.391057500E-1	-4.101470947E-1	2.237846375E-1	9.933193817E0	9.944176166E0
8.490997500E-1	2.245330811E-3	-2.451901245E-1	9.303752747E0	9.306983314E0
8.590927500E-1	-5.424719238E-1	3.403921509E-1	1.021176453E1	1.023182669E1
8.690867500E-1	-1.513352966E-1	2.532733154E-1	1.021595581E1	1.022021540E1
8.790797500E-1	-4.019142151E-1	-2.529739380E-1	9.075477448E0	9.087894242E0
8.890737500E-1	1.610650635E-1	2.874023438E-1	1.041070084E1	1.041591254E1
8.990667500E-1	-7.379653931E-2	4.206253052E-2	9.852661285E0	9.853027433E0
9.090607500E-1	4.182302856E-1	-7.454498291E-2	9.621990967E0	9.631364581E0
9.190537500E-1	1.824705505E-1	1.501377869E-1	1.052356613E1	1.052621874E1
9.290477500E-1	-4.236190796E-2	4.123924255E-1	9.259145508E0	9.268421526E0
