"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.199151667E-1	3.053649902E-2	4.146377563E-2	9.873018951E0	9.873153242E0
7.299091667E-1	3.472778320E-2	6.406677246E-2	9.800419922E0	9.800690854E0
7.399031667E-1	7.229965210E-2	8.008346558E-2	9.930798798E0	9.931384866E0
7.498971667E-1	8.726852417E-2	6.571334839E-2	9.838889923E0	9.839496377E0
7.598901667E-1	3.757186890E-2	9.819580078E-2	9.831255798E0	9.831817972E0
7.698841667E-1	1.332229614E-2	1.085243225E-1	9.880054321E0	9.880659310E0
7.798781667E-1	1.062789917E-2	9.834548950E-2	9.840087433E0	9.840584610E0
7.898711667E-1	1.017883301E-2	7.694000244E-2	9.828262024E0	9.828568450E0
7.998651667E-1	-2.844085693E-3	7.783813477E-2	9.874216461E0	9.874523664E0
8.098591667E-1	-1.062789917E-2	8.816665649E-2	9.825567627E0	9.825968935E0
8.198521667E-1	3.203338623E-2	9.460327148E-2	9.904902649E0	9.905406221E0
8.298461667E-1	3.891906738E-2	9.280700684E-2	9.763895874E0	9.764414497E0
8.398401667E-1	4.595443726E-2	9.415420532E-2	9.918973389E0	9.919526698E0
8.498331667E-1	6.197113037E-2	7.963439941E-2	9.853858795E0	9.854375435E0
8.598271667E-1	4.131408691E-2	9.280700684E-2	9.777068481E0	9.777596232E0
8.698211667E-1	1.856140137E-2	7.200027466E-2	9.942773895E0	9.943051911E0
8.798141667E-1	3.143463135E-3	7.080276489E-2	9.861941986E0	9.862196644E0
8.898081667E-1	-1.347198486E-3	9.400451660E-2	9.734107819E0	9.734561813E0
8.998021667E-1	-1.721420288E-2	1.191522217E-1	9.918075256E0	9.918805894E0
9.097961667E-1	1.197509766E-2	1.270857239E-1	9.821675720E0	9.822505186E0
9.197891667E-1	2.005828857E-2	1.110690308E-1	9.858199768E0	9.858845842E0
9.297831667E-1	5.343887329E-2	9.071136475E-2	9.832004242E0	9.832567909E0
9.397771667E-1	5.583389282E-2	1.167572021E-1	9.815239105E0	9.816092316E0
9.497701667E-1	4.071533203E-2	9.220825195E-2	9.929301910E0	9.929813519E0
9.597641667E-1	3.293151855E-2	8.442443848E-2	9.894274750E0	9.894689727E0
9.697581667E-1	5.688171387E-3	9.954299927E-2	9.706714783E0	9.707226846E0
9.797511667E-1	-1.796264648E-3	1.182540894E-1	9.951006775E0	9.951709556E0
9.897451667E-1	7.484436035E-3	1.290316772E-1	9.917925568E0	9.918767703E0
9.997391667E-1	1.481918335E-2	1.308279419E-1	9.758357391E0	9.759245593E0
1.009732167E0	1.571731567E-2	1.152603149E-1	9.861941986E0	9.862628033E0
1.019726167E0	5.059478760E-2	9.714797974E-2	9.899513855E0	9.900119804E0
1.029720167E0	3.772155762E-2	7.723937988E-2	9.844877472E0	9.845252728E0
1.039714167E0	4.430786133E-2	5.463638306E-2	9.826615448E0	9.826867226E0
1.049707167E0	2.634521484E-2	2.829116821E-2	9.828411713E0	9.828487740E0
1.059701167E0	1.841171265E-2	2.095642090E-2	9.875114594E0	9.875153994E0
1.069695167E0	2.320175171E-2	5.209167480E-2	9.820927277E0	9.821092833E0
1.079688167E0	1.451980591E-2	1.079255676E-1	9.886940002E0	9.887539702E0
1.089682167E0	-4.131408691E-2	6.541397095E-2	9.840835876E0	9.841140005E0
1.099676167E0	-3.248245239E-2	1.020877075E-1	9.734107819E0	9.734697326E0
1.109669167E0	2.395019531E-2	1.444496155E-1	9.931247864E0	9.932327191E0
1.119663167E0	5.448669434E-2	1.330732727E-1	9.847721558E0	9.848771353E0
1.129657167E0	6.152206421E-2	8.352630615E-2	9.878707123E0	9.879251795E0
1.139650167E0	5.403762817E-2	8.232879639E-2	9.810748444E0	9.811242690E0
1.149644167E0	5.673202515E-2	7.679031372E-2	9.838590546E0	9.839053776E0
1.159638167E0	9.131011963E-3	8.741821289E-2	9.916877747E0	9.917267243E0
1.169631167E0	-9.430389404E-3	7.424560547E-2	9.836494904E0	9.836779622E0
1.179625167E0	-1.676513672E-2	6.047424316E-2	9.830357666E0	9.830557972E0
1.189619167E0	4.490661621E-4	1.010398865E-1	9.801916809E0	9.802437574E0
1.199612167E0	1.152603149E-2	1.272354126E-1	9.906249847E0	9.907073621E0
1.209606167E0	2.439926147E-2	1.101708984E-1	9.905501404E0	9.906144104E0
1.219600167E0	4.326004028E-2	7.888595581E-2	9.785900116E0	9.786313683E0
1.229594167E0	5.748046875E-2	8.726852417E-2	9.771080933E0	9.771639698E0
1.239587167E0	6.301895142E-2	9.145980835E-2	9.974807281E0	9.975425634E0
1.249581167E0	3.966751099E-2	8.412506104E-2	9.877359924E0	9.877797812E0
1.259575167E0	2.125579834E-2	8.936416626E-2	9.759255524E0	9.759687810E0
1.269568167E0	-1.362167358E-2	7.170089722E-2	9.845176849E0	9.845447362E0
1.279562167E0	-1.628613281E-1	2.125579834E-1	9.923763428E0	9.927375548E0
