"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.124690833E-1	-1.514849854E-1	2.869532776E-1	9.805808716E0	9.811175998E0
7.224630833E-1	-1.743873596E-1	1.504371643E-1	9.957892456E0	9.960555429E0
7.324560833E-1	-1.859133911E-1	1.880090332E-1	9.795330505E0	9.798898453E0
7.424500833E-1	-2.363584900E-1	2.043251038E-1	9.907297668E0	9.912222817E0
7.524430833E-1	-2.502795410E-1	2.321672058E-1	9.723180542E0	9.729171666E0
7.624370833E-1	-2.520758057E-1	3.592529297E-1	9.899513855E0	9.909237077E0
7.724300833E-1	-2.023791504E-1	4.694238281E-1	9.871072998E0	9.884300592E0
7.824240833E-1	-1.438508606E-1	4.267625427E-1	9.735455017E0	9.745865981E0
7.924180833E-1	-1.110690308E-1	3.460803223E-1	9.735754395E0	9.742536710E0
8.024110833E-1	-1.001417542E-1	2.791694641E-1	9.930050354E0	9.934478547E0
8.124050833E-1	-1.124162292E-1	2.100132751E-1	9.896520081E0	9.899386480E0
8.223980833E-1	-1.773811340E-1	2.017803955E-1	9.885143738E0	9.888793966E0
8.323920833E-1	-2.270777893E-1	2.417472839E-1	9.923913116E0	9.929454044E0
8.423850833E-1	-2.665956116E-1	2.969824219E-1	9.783355408E0	9.791491961E0
8.523790833E-1	-3.044668579E-1	3.710783386E-1	9.848919067E0	9.860608805E0
8.623720833E-1	-3.450325012E-1	5.276527405E-1	9.723479919E0	9.743896889E0
8.723660833E-1	-2.668949890E-1	3.079096985E-1	9.623338165E0	9.631961314E0
8.823600833E-1	-1.541793823E-1	3.824546814E-1	9.751771088E0	9.760485757E0
8.923530833E-1	-2.198927307E-1	1.953437805E-1	1.051727921E1	1.052139125E1
9.023470833E-1	-1.639091492E-1	1.287322998E-1	9.095835114E0	9.098222608E0
9.123400833E-1	-2.350112915E-2	2.514770508E-1	1.019395157E1	1.019708005E1
9.223340833E-1	-1.028361511E-1	3.565585327E-1	1.025891647E1	1.026562597E1
9.323270833E-1	9.654922485E-2	1.957928467E-1	9.349856873E0	9.352405045E0
9.423210833E-1	1.164578247E-1	3.736230469E-1	9.988279266E0	9.995943143E0
9.523150833E-1	-2.020797729E-2	5.819897461E-1	1.007240433E1	1.008922442E1
9.623080833E-1	-1.374142456E-1	2.314187622E-1	9.893526306E0	9.897186473E0
9.723020833E-1	-3.650907898E-1	2.073188782E-1	9.656569061E0	9.665691824E0
9.822950833E-1	-6.200106812E-1	3.897894287E-1	1.001552261E1	1.004226281E1
