"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.083706667E-1	-1.745370483E-1	2.820135498E-1	9.765991516E0	9.771621417E0
7.183636667E-1	-1.974394226E-1	1.651066589E-1	9.866881714E0	9.870237955E0
7.283576667E-1	-2.001338196E-1	1.231938171E-1	9.768985291E0	9.771811698E0
7.383516667E-1	-1.466949463E-1	1.624122620E-1	9.821226654E0	9.823664802E0
7.483446667E-1	-1.434017944E-1	2.469863892E-2	9.979297943E0	9.980358788E0
7.583386667E-1	-1.246907043E-1	-2.050735474E-2	9.828262024E0	9.829074358E0
7.683316667E-1	-8.487350464E-2	1.366658020E-1	9.763297119E0	9.764622455E0
7.783256667E-1	-1.098715210E-1	1.767823792E-1	9.990225220E0	9.992393292E0
7.883186667E-1	-1.571731567E-1	2.275268555E-1	9.741292877E0	9.745217226E0
7.983126667E-1	-1.924996948E-1	2.942880249E-1	9.873617706E0	9.879877944E0
8.083066667E-1	-1.893562317E-1	2.933898926E-1	9.850565643E0	9.856752858E0
8.182996667E-1	-1.646575928E-1	2.326162720E-1	9.770033112E0	9.774188941E0
8.282936667E-1	-1.637594604E-1	1.787283325E-1	9.893077240E0	9.896046597E0
8.382876667E-1	-1.339714050E-1	1.119671631E-1	9.925110626E0	9.926646258E0
8.482806667E-1	-1.049317932E-1	8.816665649E-2	9.699978790E0	9.700946994E0
8.582746667E-1	-1.303788757E-1	1.492396545E-1	9.919422455E0	9.921401764E0
8.682676667E-1	-1.369651794E-1	2.374063110E-1	9.960287476E0	9.964057799E0
8.782616667E-1	-1.380130005E-1	2.420466614E-1	9.685608673E0	9.689615552E0
8.882556667E-1	-1.457968140E-1	2.559677124E-1	9.860295410E0	9.864694712E0
8.982486667E-1	-1.625619507E-1	2.612068176E-1	9.967322845E0	9.972070001E0
9.082426667E-1	-1.508862305E-1	1.896556091E-1	9.722282410E0	9.725302626E0
9.182356667E-1	-1.583706665E-1	1.368154907E-1	9.775571594E0	9.777811603E0
9.282296667E-1	-1.516346741E-1	8.921447754E-2	1.001073257E1	1.001227841E1
9.382226667E-1	-1.128652954E-1	1.245410156E-1	9.857002258E0	9.858435097E0
9.482166667E-1	-1.335223389E-1	1.761836243E-1	9.793683929E0	9.796178530E0
9.582106667E-1	-1.315763855E-1	3.182382202E-1	9.847871246E0	9.853890399E0
9.682036667E-1	-1.404080200E-1	3.228785706E-1	9.904603271E0	9.910859244E0
9.781976667E-1	-1.417552185E-1	2.918930054E-1	9.808203735E0	9.813570022E0
9.881906667E-1	-1.245410156E-1	2.279759216E-1	9.851014709E0	9.854439319E0
9.981846667E-1	-2.526745605E-1	2.389031982E-1	9.864935760E0	9.871062594E0
1.008178667E0	-2.865042114E-1	7.634124756E-2	9.777517548E0	9.782012167E0
